"id","name","gender","relation","reverse_female","reverse_male"
"__export__.eschool_student_guardian_relation_1_384b6a5a","Father","male","Father","Daughter","Son"
"__export__.eschool_student_guardian_relation_2_3b272ee7","Mother","female","mother","Daughter","Son"
"__export__.eschool_student_guardian_relation_3_9cb548d1","Brother","male","Brother","Sister","Brother"
"__export__.eschool_student_guardian_relation_4_6428f2e4","Sister","female","Sister","Sister","Brother"
"__export__.eschool_student_guardian_relation_5_b0fbc24d","Uncle","male","Uncle","Nice","Nephew"
"__export__.eschool_student_guardian_relation_6_9091712f","Cousin (Female)","female","Cousin","cousin","Cousin"
"__export__.eschool_student_guardian_relation_7_1a9dd7f9","Grand Father","male","Grand Father","Grand Daughter","Grand Son"
"__export__.eschool_student_guardian_relation_8_f8ed711f","Grand Mother","female","Grand Mother","Grand Daughter","Grand Son"
"__export__.eschool_student_guardian_relation_9_9091712f","Cousin (Male)","male","Cousin","cousin","Cousin"
